73.42,nan,0,nan,1510
nan,1130,nan,90.16,1500
73.2,nan,0.1,89.71,850
72.97,nan,1.3,89.48,600
nan,580,0,89.45,580
72.86,590,0,89.67,796
73.04,700,19.9,89.64,760
72.97,640,0,89.82,995
73.07,730,0,89.72,859
nan,730,0,89.73,870
73.04,700,nan,89.63,750
73,640,28.9,89.66,782
73,670,nan,89.46,nan
72.85,540,0.1,89.47,550
72.82,527,0,nan,nan
72.96,610,0,nan,nan
nan,775,0,nan,890
73.26,955,nan,nan,890
73.16,840,0,nan,900
73.21,892,0,89.79,760
nan,840,nan,89.97,1000
73.24,900,0,89.82,758
73.13,770,0,89.95,nan
73.13,770,0,89.91,880
73.12,760,0.1,89.72,680
72.96,610,0.1,89.91,920
73.2,nan,0,90.02,990
73.24,nan,0,89.89,803
73.23,900,nan,90.03,nan
73.14,790,0.1,90,820
73.17,860,0.1,nan,770
73.14,830,0,89.99,820
73.1,800,0,nan,nan
73.09,nan,0,89.98,930
nan,nan,0,90.07,1000
73.14,840,0,89.87,790
nan,760,0,89.92,840
73.19,865,nan,90.12,1000
nan,865,0,90.01,800
nan,830,nan,nan,800
nan,865,nan,90.15,960
73.18,950,0.6,89.9,755
73,775,0.6,89.89,740
73.13,nan,nan,90.07,990
nan,980,0,nan,880
73.03,735,0,89.62,nan
nan,765,0.1,89.97,950
73.22,nan,nan,90.09,1070
73.19,890,0.1,89.99,980
73.13,830,0.1,89.98,880
73.11,810,0,90.03,900
73.19,890,0,nan,995
73.28,950,0.1,nan,995
73.29,1110,2.1,90.14,950
73.31,1130,5.7,nan,nan
73.3,nan,0.5,nan,nan
73.27,1090,0,90.01,1030
73.29,1110,0,nan,1000
73.21,1030,nan,89.98,1080
73.3,nan,0,89.96,1050
nan,1020,0,nan,1130
nan,1090,0,90.11,nan
73.31,1080,nan,nan,1280
73.35,1420,0,89.98,nan
73.35,1420,nan,90.03,1400
73.34,1400,nan,nan,1200
73.22,1230,0.1,89.81,1040
73.2,1020,0,89.92,1050
73.25,1050,0,89.85,1010
73.1,880,2.3,89.85,1010
73.15,1030,9.2,89.82,930
nan,1020,nan,89.9,1040
73.16,1040,0,89.79,890
nan,1020,nan,89.92,1070
73.23,960,0,89.92,1070
73.25,1020,0,89.86,990
nan,nan,0,89.63,710
73.02,800,0,nan,880
73.05,820,0,89.66,730
72.97,nan,0,89.69,760
73,nan,0,89.68,680
72.98,755,0,89.7,700
72.95,725,0,89.69,690
72.92,695,0,89.6,610
72.82,nan,nan,89.37,468
72.69,nan,0.1,89.54,552
nan,540,0,89.58,584
nan,nan,0,89.7,698
72.84,625,6.4,89.71,nan
72.91,690,1.2,89.71,705
72.92,700,nan,89.74,770
72.96,738,0,90.07,1010
73.17,940,0,89.88,810
73.05,825,nan,89.8,740
72.98,755,0,89.81,nan
72.93,705,0,89.46,nan
nan,735,0,89.83,768
72.91,690,0,89.85,782
72.97,745,0,89.96,890
72.99,805,0,89.82,780
72.91,730,0,89.8,nan
72.9,720,nan,89.78,740
nan,680,0,89.66,640
nan,650,0,89.49,480
72.73,560,0.1,89.48,455
nan,510,0.7,nan,454
72.73,569,0,89.59,530
72.77,600,0,89.58,550
72.78,581,0,89.53,510
72.72,560,nan,89.4,454
nan,530,nan,89.41,458
72.69,nan,0,89.36,512
72.63,nan,nan,89.36,512
72.63,475,0,89.36,512
72.64,480,3,89.36,490
nan,480,nan,89.26,480
nan,480,0,89.28,420
72.63,475,0,nan,545
72.67,510,0,89.51,550
72.67,515,0,89.46,500
nan,530,0,nan,523
72.69,550,0,89.59,560
72.72,550,nan,89.58,nan
72.72,550,nan,89.66,625
nan,nan,0,89.57,544
72.7,580,nan,89.44,560
nan,nan,0,89.47,560
72.67,525,0,89.44,470
72.64,525,0,89.41,440
72.62,495,0.1,89.42,490
72.67,545,2.6,89.54,452
