1,2,3,4,5
73.03,480,0.0,89.82,491.0
73.03,480,0.0,89.88,515.0
73.06,550,0.0,89.84,480.0
73.03,510,0.0,89.87,525.0
73.05,540,0.0,89.95,582.0
73.09,580,0.0,89.66,405.0
72.94,420,0.0,89.68,500.0
72.98,500,0.0,89.81,575.0
73.06,550,0.0,89.61,475.0
72.94,470,0.0,89.68,480.0
72.95,470,25.7,89.8,570.0
73.01,510,14.0,89.68,495.0
73.0,565,0.0,89.77,525.0
73.01,570,0.0,89.79,543.0
73.01,570,0.0,89.76,545.0
73.01,570,0.1,89.93,632.0
73.07,610,28.3,89.85,580.0
73.06,580,6.2,90.56,1790.0
74.0,2000,3.5,91.05,3050.0
74.41,3220,8.7,91.16,3360.0
74.41,3220,0.0,91.19,3380.0
74.44,3300,0.0,91.35,3620.0
74.52,3550,0.0,91.42,3600.0
74.58,3660,0.0,91.41,3580.0
74.67,3900,19.3,91.45,3980.0
74.68,4030,0.0,91.49,4160.0
74.66,4000,13.4,91.4,4100.0
74.54,3630,2.3,91.29,3890.0
74.43,3300,0.0,91.29,3840.0
74.35,3160,0.1,90.76,2690.0
74.18,2640,1.2,90.31,1900.0
73.77,1660,8.2,89.69,1100.0
73.37,921,9.6,89.47,780.0
73.67,1130,5.1,90.36,1900.0
73.9,1880,0.0,90.15,1690.0
73.57,1020,0.5,89.83,1220.0
73.52,1010,0.0,90.04,1530.0
73.61,1200,0.0,89.73,980.0
73.32,820,0.0,89.58,753.0
73.42,820,33.6,89.71,922.0
73.45,920,44.7,89.54,705.0
73.21,620,14.8,89.51,750.0
73.23,630,11.9,89.36,640.0
73.13,530,0.0,89.34,630.0
73.08,490,1.7,89.27,495.0
73.0,430,0.5,89.19,430.0
73.05,480,49.6,89.21,450.0
73.02,460,9.9,89.34,565.0
73.05,475,0.2,89.4,625.0
73.07,495,0.1,89.41,540.0
73.07,495,0.0,89.52,640.0
73.07,495,0.1,90.08,940.0
73.13,550,0.0,90.3,1450.0
73.12,1410,0.0,90.3,1430.0
73.1,1390,1.5,90.3,1430.0
73.1,1390,21.7,90.24,1380.0
73.08,1270,0.0,90.23,1370.0
73.08,1270,1.0,90.68,2390.0
73.96,1940,26.7,90.94,2340.0
74.44,3800,0.0,91.09,3290.0
74.35,3480,17.8,91.25,3700.0
74.55,4080,0.2,91.21,3620.0
74.46,3540,0.0,91.06,3240.0
74.34,3100,0.0,90.96,3200.0
74.32,3020,12.2,90.95,3170.0
74.32,2920,0.1,90.63,2450.0
73.99,2160,0.0,89.9,1600.0
73.43,880,4.7,89.59,1260.0
73.23,820,21.0,89.7,1280.0
73.22,820,0.0,89.93,1080.0
73.18,840,0.0,89.75,875.0
73.18,840,0.0,89.99,1150.0
73.46,1100,0.0,90.47,1740.0
73.77,1680,0.0,90.16,1510.0
73.56,1240,0.0,90.18,1710.0
73.54,1360,2.3,90.15,1660.0
73.47,1250,0.0,90.08,1540.0
73.42,1180,0.0,90.15,1510.0
73.39,1130,0.0,90.16,1500.0
73.2,880,0.1,89.71,850.0
72.97,730,1.3,89.48,600.0
72.84,580,0.0,89.45,580.0
72.86,590,0.0,89.67,796.0
73.04,700,19.9,89.64,760.0
72.97,640,0.0,89.82,995.0
73.07,730,0.0,89.72,859.0
73.07,730,0.0,89.73,870.0
73.04,700,0.0,89.63,750.0
73.0,640,28.9,89.66,782.0
73.0,670,21.4,89.46,588.0
72.85,540,0.1,89.47,550.0
72.82,527,0.0,89.55,640.0
72.96,610,0.0,89.64,760.0
73.11,775,0.0,89.85,890.0
73.26,955,0.0,89.85,890.0
73.16,840,0.0,89.9,900.0
73.21,892,0.0,89.79,760.0
73.17,840,0.0,89.97,1000.0
73.24,900,0.0,89.82,758.0
73.13,770,0.0,89.95,930.0
73.13,770,0.0,89.91,880.0
73.12,760,0.1,89.72,680.0
72.96,610,0.1,89.91,920.0
73.2,880,0.0,90.02,990.0
73.24,900,0.0,89.89,803.0
73.23,900,0.0,90.03,870.0
73.14,790,0.1,90.0,820.0
73.17,860,0.1,89.96,770.0
73.14,830,0.0,89.99,820.0
73.1,800,0.0,89.85,750.0
73.09,800,0.0,89.98,930.0
73.13,830,0.0,90.07,1000.0
73.14,840,0.0,89.87,790.0
73.08,760,0.0,89.92,840.0
73.19,865,0.0,90.12,1000.0
73.19,865,0.0,90.01,800.0
73.13,830,0.1,90.01,800.0
73.17,865,0.1,90.15,960.0
73.18,950,0.6,89.9,755.0
73.0,775,0.6,89.89,740.0
73.13,880,1.0,90.07,990.0
73.21,980,0.0,89.99,880.0
73.03,735,0.0,89.62,600.0
73.06,765,0.1,89.97,950.0
73.22,910,0.1,90.09,1070.0
73.19,890,0.1,89.99,980.0
73.13,830,0.1,89.98,880.0
73.11,810,0.0,90.03,900.0
